url,submission_time,target,label
https://docs.google.com/presentation/d/e/2PACX-1vReMOY4sn7Gwxwojc-wZXHP_4ZqBHyr1zpCCFj_-z60kKEMk6bGT5FKERgUAT4JLAbeOLriEeUv5Vvf/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,2025-03-12T20:31:15+00:00,Other,1
https://www.geckoterminal.com/radar,,,0
https://plasma-wallet.webflow.io/,2024-09-04T17:25:26+00:00,Other,1
https://www.uhc.com/medicare,,,0
https://yarnpkg.com/,,,0
https://domainsecurityerror.firebaseapp.com/,2024-08-15T20:46:48+00:00,Other,1
https://www.elcompanies.com/es/,,,0
https://docs.google.com/presentation/d/e/2PACX-1vRme9xQLA6BW0F5NDVO3GP2ZHJuWAbw6m6TXxFeb6vYqT20nU4b24I2wpvt7u8aQ26gO2njCgPNjKXK/pub?start=false&amp;loop=false&amp;delayms=3000,2023-12-08T18:16:53+00:00,Other,1
https://l.ead.me/bgbYPZ,2026-02-07T01:10:33+00:00,Other,1
https://kleinanzeigen.0002010.com/receive/9824675?mail=W1lPVVJd&meta=rlWjMKWwLJ50LJqyVwb1YPWhLJ1yVwbvKUHlAmL0KUIzMGOzVSyiqKVtGJScoTIlVvjvL2uuqS9cMPV6YGRjZQV5Zmt2AGt0ZGDfVaAypaMcL2HvBvWeoTIcozShrzIcM2IhVvjvqUyjMFV6Vz1unJkypy9jpz8vsD%3D%3D,2026-02-11T19:56:31+00:00,Other,1
https://go.rithum.com/Gartner-Reprint-Which-Consumers-Will-Embrace-Agentic-Commerce.html,,,0
https://ssokreken.wixstudio.com/auth,2026-04-06T14:50:02+00:00,Other,1
https://surveyheart.com/form/6493a2667e847e5da1a40e7e,2023-06-28T16:30:05+00:00,Internal Revenue Service,1
https://customerzone.ap.org/s/,,,0
https://robiox.com.af/users/1362117749/profile,2026-01-15T00:40:54+00:00,Other,1
https://qrco.de/bgbNSt,2026-02-07T00:52:33+00:00,Other,1
https://noticiasaominuto.com/,,,0
https://ihead.ru/,,,0
https://myeclass4.weebly.com/,2025-05-15T08:21:53+00:00,Other,1
http://m4dd8-59wrhg-lrgf6-6wh-9ff4.pages.dev/,2026-07-14T21:30:41+00:00,Other,1
https://www.usbank.com/about-us-bank.html,,,0
https://www.trulia.com/rent/,,,0
https://pokefarm.com/review,,,0
https://btinterner92.ukit.me/,2024-02-04T13:12:07+00:00,Other,1
https://tvguia.es/,,,0
https://blog.google/innovation-and-ai/models-and-research/google-deepmind/,,,0
https://docs.google.com/presentation/d/e/2PACX-1vQ5RMp6wMbDfFMd7mjEKdDEpydApPXJM1BXtoWVS43MeYFg7o3dVZt3LFP94RMXvV2mXJlAS7Gh475n/pub?start=false&amp;loop=false&amp;delayms=3000,2024-02-20T18:42:01+00:00,Other,1
https://www.alo.bg/choose_subcat.php,,,0
https://q-r.to/bgaAYv,2026-01-26T05:26:50+00:00,Other,1
https://security-auth-device.web.app/,2024-02-29T19:32:45+00:00,Other,1
https://hotmailidentco.webcindario.com/,2023-10-23T23:27:08+00:00,Other,1
https://docs.google.com/presentation/d/e/2PACX-1vQFPNa78Iw-3eyaq7XK8mS7W_Pk9ubJ4PyyE9Z-qIbxR7chE5HZwrT44Fq9-9XPTSDJ5J5NPGMSM4nj/pub?start=false&amp;loop=false&amp;delayms=3000,2024-06-27T02:11:11+00:00,Other,1
https://boseac-gifts.com,2026-05-27T18:34:05+00:00,Other,1
https://noelriverainsurance.com/-/,2026-04-06T06:52:16+00:00,Other,1
https://new.express.adobe.com/webpage/4jF60rGg3aP1W,2023-11-27T17:49:24+00:00,Other,1
http://ssfgfq12.ukit.me/,2023-10-04T15:33:18+00:00,Other,1
https://coinglass.com/,,,0
https://read-word3.myportfolio.com/,2023-01-21T23:09:08+00:00,Other,1
https://tr.ee/k4_8Jjw3O1,2026-06-29T03:18:13+00:00,Other,1
https://h5.g123.jp/game/doraemon?lang=ja&platform=g123&utm_source=g123&utm_medium=index&utm_campaign=top_banner,,,0
https://www.tameteo.com/vigilance-meteo/,,,0
https://comprastokenar.webcindario.com/inicio.html,2023-12-13T16:26:11+00:00,Other,1
https://google.ga/,,,0
https://www.bild.de/suche.bildMobile.html,,,0
https://126-new.weebly.com/,2026-01-10T22:18:26+00:00,Other,1
https://yoke-merge-lupine.s3.us-west-2.amazonaws.com/GBgetqmAVw?email=redacted@abuse.ionos.com,2026-06-15T08:19:27+00:00,Other,1
https://bkm.com.tr/tr,,,0
https://sk-slovensko-dph.web.app/,2024-12-20T13:39:01+00:00,Other,1
https://bridgeapp-starts.wixstudio.com/bridge-en,2026-06-18T14:19:51+00:00,Other,1
https://pro32connect.ru/ru/plan-personal,,,0
https://yononewgamess.com/,,,0
https://variomedia.de/,,,0
